,number,fieldnumber,depth_capture_range_ft,depth_capture_avg_m,depth_avg,weight_g,SL_mm,TL_mm,sex,gonad_weight_g,guts_preserved,whole_fish_preserved,notes,gonad_index,tissues_taken_for.SIA...S...Scale..M...Muscle..H...Heart.,depth_categorical,muscle_ctotal,muscle_ntotal,scale_ctotal,scale_ntotal,heart_ctotal,heart_ntotal,calibration,tp,tissue,c,n,tissuedepth
185,CUR_LION19064,CURSH19-15,50-73,18.288,60,132,160,210,F,<1,YES,YES,immature,Early Developing ,"S, M, H",shallow,184.38,56.98,121.45,40.57,188.915,49.355,average,2.467647059,heart,-16.56,8.295,heart_shallow
184,CUR_LION19064,CURSH19-15,50-73,18.288,60,132,160,210,F,<1,YES,YES,immature,Early Developing ,"S, M, H",shallow,184.38,56.98,121.45,40.57,188.915,49.355,average,2.467647059,muscle,-16.09,8.99,muscle_shallow
186,CUR_LION19064,CURSH19-15,50-73,18.288,60,132,160,210,F,<1,YES,YES,immature,Early Developing ,"S, M, H",shallow,184.38,56.98,121.45,40.57,188.915,49.355,average,2.467647059,scale,-13.88,8.56,scale_shallow
191,CUR_LION19066,CURSH19-15,50-73,22.2504,73,130,155,210,M,<1,YES,YES,,immature (virgin),"S, M, H",shallow,186.095,56.845,123.27,42.01,182.64,49.45,average,2.389705882,heart,-16.25,8.11,heart_shallow
190,CUR_LION19066,CURSH19-15,50-73,22.2504,73,130,155,210,M,<1,YES,YES,,immature (virgin),"S, M, H",shallow,186.095,56.845,123.27,42.01,182.64,49.45,average,2.389705882,muscle,-16.21,8.725,muscle_shallow
192,CUR_LION19066,CURSH19-15,50-73,22.2504,73,130,155,210,M,<1,YES,YES,,immature (virgin),"S, M, H",shallow,186.095,56.845,123.27,42.01,182.64,49.45,average,2.389705882,scale,-13.76,8.73,scale_shallow
137,CUR_LION19047,CURSH19-13,65,16.4592,54,160,155,220,M,<1,YES,YES,immature,Immature (virgin),"S, M, H",shallow,183.62,57.91,118.62,41.12,185.35,49.57,single,2.341176471,heart,-16.82,7.93,heart_shallow
136,CUR_LION19047,CURSH19-13,65,16.4592,54,160,155,220,M,<1,YES,YES,immature,Immature (virgin),"S, M, H",shallow,183.62,57.91,118.62,41.12,185.35,49.57,single,2.341176471,muscle,-16.36,8.56,muscle_shallow
138,CUR_LION19047,CURSH19-13,65,16.4592,54,160,155,220,M,<1,YES,YES,immature,Immature (virgin),"S, M, H",shallow,183.62,57.91,118.62,41.12,185.35,49.57,single,2.341176471,scale,-13.87,8.46,scale_shallow
143,CUR_LION19049,CURSH19-14,47-60,13.716,45,137,155,220,F,<1,YES,YES,immature,Immature/early developing,"S, M, H",shallow,187.4,59.51,123.41,43.78,187.09,49.69,single,2.355882353,heart,-16.57,7.77,heart_shallow
142,CUR_LION19049,CURSH19-14,47-60,13.716,45,137,155,220,F,<1,YES,YES,immature,Immature/early developing,"S, M, H",shallow,187.4,59.51,123.41,43.78,187.09,49.69,single,2.355882353,muscle,-15.96,8.61,muscle_shallow
144,CUR_LION19049,CURSH19-14,47-60,13.716,45,137,155,220,F,<1,YES,YES,immature,Immature/early developing,"S, M, H",shallow,187.4,59.51,123.41,43.78,187.09,49.69,single,2.355882353,scale,-13.57,8.49,scale_shallow
32,CUR_LION19012,CURSH19-08,17 ft,5.1816,17,147,166,225,F,9,YES,YES,,Actively Spawning,"S, M, H",shallow,183.81,57.14,115.47,40.1,182.31,49.36,average,2.467647059,heart,-17.92,8.62,heart_shallow
31,CUR_LION19012,CURSH19-08,17 ft,5.1816,17,147,166,225,F,9,YES,YES,,Actively Spawning,"S, M, H",shallow,183.81,57.14,115.47,40.1,182.31,49.36,average,2.467647059,muscle,-17.4,8.99,muscle_shallow
33,CUR_LION19012,CURSH19-08,17 ft,5.1816,17,147,166,225,F,9,YES,YES,,Actively Spawning,"S, M, H",shallow,183.81,57.14,115.47,40.1,182.31,49.36,average,2.467647059,scale,-15.175,8.88,scale_shallow
149,CUR_LION19051,CURSH19-14,47-60,18.288,60,149,160,225,?,<1,YES,YES,,immature (virgin),"S, M, H",shallow,183.45,56.81,121.9,41.94,185.77,48.78,single,2.367647059,heart,-16.94,8.06,heart_shallow
148,CUR_LION19051,CURSH19-14,47-60,18.288,60,149,160,225,?,<1,YES,YES,,immature (virgin),"S, M, H",shallow,183.45,56.81,121.9,41.94,185.77,48.78,single,2.367647059,muscle,-16.37,8.65,muscle_shallow
150,CUR_LION19051,CURSH19-14,47-60,18.288,60,149,160,225,?,<1,YES,YES,,immature (virgin),"S, M, H",shallow,183.45,56.81,121.9,41.94,185.77,48.78,single,2.367647059,scale,-13.8,8.35,scale_shallow
65,CUR_LION19023,CURSH19-10,30 - 65 ft,19.812,65,183,180,230,F,10,YES,YES,,Actively Spawning,"S, M, H",shallow,190.17,59.195,113.56,39.07,178.9,47.81,average,2.494117647,heart,-16.97,8.57,heart_shallow
64,CUR_LION19023,CURSH19-10,30 - 65 ft,19.812,65,183,180,230,F,10,YES,YES,,Actively Spawning,"S, M, H",shallow,190.17,59.195,113.56,39.07,178.9,47.81,average,2.494117647,muscle,-16.165,9.08,muscle_shallow
66,CUR_LION19023,CURSH19-10,30 - 65 ft,19.812,65,183,180,230,F,10,YES,YES,,Actively Spawning,"S, M, H",shallow,190.17,59.195,113.56,39.07,178.9,47.81,average,2.494117647,scale,-13.92,9.01,scale_shallow
188,CUR_LION19065,CURSH19-15,50-73,15.24,50,211,185,235,F,<1,YES,YES,immature,Early developing,"S, M, H",shallow,194.58,57.7,126.77,43.615,189.56,47.675,average,2.352941176,heart,-16.925,8.62,heart_shallow
187,CUR_LION19065,CURSH19-15,50-73,15.24,50,211,185,235,F,<1,YES,YES,immature,Early developing,"S, M, H",shallow,194.58,57.7,126.77,43.615,189.56,47.675,average,2.352941176,muscle,-16.3,8.6,muscle_shallow
189,CUR_LION19065,CURSH19-15,50-73,15.24,50,211,185,235,F,<1,YES,YES,immature,Early developing,"S, M, H",shallow,194.58,57.7,126.77,43.615,189.56,47.675,average,2.352941176,scale,-13.865,8.51,scale_shallow
62,CUR_LION19022,CURSH19-10,30 - 65 ft,13.716,45,178,183,240,M,Not Recorded,YES,YES,,Immature (virgin),"S, M, H",shallow,189.9,60.26,124.67,41.29,178.74,48.71,single,2.388235294,heart,-17.17,8.41,heart_shallow
61,CUR_LION19022,CURSH19-10,30 - 65 ft,13.716,45,178,183,240,M,Not Recorded,YES,YES,,Immature (virgin),"S, M, H",shallow,189.9,60.26,124.67,41.29,178.74,48.71,single,2.388235294,muscle,-16.52,8.72,muscle_shallow
63,CUR_LION19022,CURSH19-10,30 - 65 ft,13.716,45,178,183,240,M,Not Recorded,YES,YES,,Immature (virgin),"S, M, H",shallow,189.9,60.26,124.67,41.29,178.74,48.71,single,2.388235294,scale,-14.41,8.59,scale_shallow
194,CUR_LION19067,CURSH19-15,50-73,19.812,65,175,175,240,F,<1,YES,YES,"immature, previously sexed as M",early developing,"S, M, H",shallow,190.48,58.86,120.16,40.34,186.69,49.2,single,2.414705882,heart,-17.13,8.3,heart_shallow
193,CUR_LION19067,CURSH19-15,50-73,19.812,65,175,175,240,F,<1,YES,YES,"immature, previously sexed as M",early developing,"S, M, H",shallow,190.48,58.86,120.16,40.34,186.69,49.2,single,2.414705882,muscle,-16.34,8.81,muscle_shallow
195,CUR_LION19067,CURSH19-15,50-73,19.812,65,175,175,240,F,<1,YES,YES,"immature, previously sexed as M",early developing,"S, M, H",shallow,190.48,58.86,120.16,40.34,186.69,49.2,single,2.414705882,scale,-14.32,8.36,scale_shallow
47,CUR_LION19017,CURSH19-09,40 - 80 ft,15.24,50,181,183,247,M,Not Recorded,YES,YES,,Spawning capable,"S, M, H",shallow,192.51,61.1,110.28,37.74,175.02,45.89,average,2.345588235,heart,-17.27,8.3,heart_shallow
46,CUR_LION19017,CURSH19-09,40 - 80 ft,15.24,50,181,183,247,M,Not Recorded,YES,YES,,Spawning capable,"S, M, H",shallow,192.51,61.1,110.28,37.74,175.02,45.89,average,2.345588235,muscle,-16.69,8.575,muscle_shallow
48,CUR_LION19017,CURSH19-09,40 - 80 ft,15.24,50,181,183,247,M,Not Recorded,YES,YES,,Spawning capable,"S, M, H",shallow,192.51,61.1,110.28,37.74,175.02,45.89,average,2.345588235,scale,-14.29,8.36,scale_shallow
50,CUR_LION19018,CURSH19-09,40 - 80 ft,18.288,60,246,191,254,M,Not Recorded,YES,YES,,Spawning Capable,"S, M, H",shallow,189.84,59.07,122.79,42.76,183.49,47.4,single,2.491176471,heart,-17.09,8.92,heart_shallow
49,CUR_LION19018,CURSH19-09,40 - 80 ft,18.288,60,246,191,254,M,Not Recorded,YES,YES,,Spawning Capable,"S, M, H",shallow,189.84,59.07,122.79,42.76,183.49,47.4,single,2.491176471,muscle,-16.26,9.07,muscle_shallow
51,CUR_LION19018,CURSH19-09,40 - 80 ft,18.288,60,246,191,254,M,Not Recorded,YES,YES,,Spawning Capable,"S, M, H",shallow,189.84,59.07,122.79,42.76,183.49,47.4,single,2.491176471,scale,-13.97,8.88,scale_shallow
44,CUR_LION19016,CURSH19-09,40 - 80 ft,12.192,40,259,196,258,M,Not Recorded,YES,YES,,Immature(virgin),"S, M, H",shallow,194.08,56.45,115.95,39.47,180.07,47.29,single,2.423529412,heart,-17.26,9.02,heart_shallow
43,CUR_LION19016,CURSH19-09,40 - 80 ft,12.192,40,259,196,258,M,Not Recorded,YES,YES,,Immature(virgin),"S, M, H",shallow,194.08,56.45,115.95,39.47,180.07,47.29,single,2.423529412,muscle,-17.05,8.84,muscle_shallow
45,CUR_LION19016,CURSH19-09,40 - 80 ft,12.192,40,259,196,258,M,Not Recorded,YES,YES,,Immature(virgin),"S, M, H",shallow,194.08,56.45,115.95,39.47,180.07,47.29,single,2.423529412,scale,-14.09,8.57,scale_shallow
20,CUR_LION19008,CURSH19-07,45 - 90 ft,18.288,60,197,190,260,M,Not Recorded,YES,YES,Gonads not in bag,?,"S, M, H",shallow,185.48,57.83,114.39,39.59,182.22,49.59,single,2.411764706,heart,-17.06,8.55,heart_shallow
19,CUR_LION19008,CURSH19-07,45 - 90 ft,18.288,60,197,190,260,M,Not Recorded,YES,YES,Gonads not in bag,?,"S, M, H",shallow,185.48,57.83,114.39,39.59,182.22,49.59,single,2.411764706,muscle,-16.43,8.8,muscle_shallow
21,CUR_LION19008,CURSH19-07,45 - 90 ft,18.288,60,197,190,260,M,Not Recorded,YES,YES,Gonads not in bag,?,"S, M, H",shallow,185.48,57.83,114.39,39.59,182.22,49.59,single,2.411764706,scale,-13.89,8.52,scale_shallow
17,CUR_LION19007,CURSH19-07,45 - 90 ft,18.288,60,237,200,265,F,22,YES,YES,,Actively spawning,"S, M, H",shallow,201.55,49.78,113.55,38.87,184.38,51.59,single,2.535294118,heart,-16.67,8.2,heart_shallow
16,CUR_LION19007,CURSH19-07,45 - 90 ft,18.288,60,237,200,265,F,22,YES,YES,,Actively spawning,"S, M, H",shallow,201.55,49.78,113.55,38.87,184.38,51.59,single,2.535294118,muscle,-18.08,9.22,muscle_shallow
18,CUR_LION19007,CURSH19-07,45 - 90 ft,18.288,60,237,200,265,F,22,YES,YES,,Actively spawning,"S, M, H",shallow,201.55,49.78,113.55,38.87,184.38,51.59,single,2.535294118,scale,-14.15,9.12,scale_shallow
68,CUR_LION19024,CURASUB19-04,224 ft,68.2752,224,116,160,215,M,Not Recorded,YES,YES,,immature (virgin),"S, M, H",deep,155.18,49.12,123.4,42.39,172.13,45.92,average,2.530882353,heart,-18.05,8.67,heart_deep
67,CUR_LION19024,CURASUB19-04,224 ft,68.2752,224,116,160,215,M,Not Recorded,YES,YES,,immature (virgin),"S, M, H",deep,155.18,49.12,123.4,42.39,172.13,45.92,average,2.530882353,muscle,-17.77,9.205,muscle_deep
69,CUR_LION19024,CURASUB19-04,224 ft,68.2752,224,116,160,215,M,Not Recorded,YES,YES,,immature (virgin),"S, M, H",deep,155.18,49.12,123.4,42.39,172.13,45.92,average,2.530882353,scale,-15.78,9.21,scale_deep
23,CUR_LION19009,CURASUB19-03,,106.68,350,179,195,245,F,8,YES,YES,,Spawning capable,"S, M, H",deep,184.135,57.78,122.2,40.99,179.29,47.21,average,2.510294118,heart,-17.11,9.22,heart_deep
22,CUR_LION19009,CURASUB19-03,,106.68,350,179,195,245,F,8,YES,YES,,Spawning capable,"S, M, H",deep,184.135,57.78,122.2,40.99,179.29,47.21,average,2.510294118,muscle,-16.025,9.135,muscle_deep
24,CUR_LION19009,CURASUB19-03,,106.68,350,179,195,245,F,8,YES,YES,,Spawning capable,"S, M, H",deep,184.135,57.78,122.2,40.99,179.29,47.21,average,2.510294118,scale,-13.44,9.03,scale_deep
29,CUR_LION19011,CURSH19-08,200 ft,60.96,200,236,183,245,M,Not Recorded,YES,YES,,immature (virgin),"S, M, H",deep,187.39,59.09,122.31,42.14,186.06,48.66,single,3.244117647,heart,-13.46,10.83,heart_deep
28,CUR_LION19011,CURSH19-08,200 ft,60.96,200,236,183,245,M,Not Recorded,YES,YES,,immature (virgin),"S, M, H",deep,187.39,59.09,122.31,42.14,186.06,48.66,single,3.244117647,muscle,-12.14,11.63,muscle_deep
30,CUR_LION19011,CURSH19-08,200 ft,60.96,200,236,183,245,M,Not Recorded,YES,YES,,immature (virgin),"S, M, H",deep,187.39,59.09,122.31,42.14,186.06,48.66,single,3.244117647,scale,-9.6,11.73,scale_deep
119,CUR_LION19041,CURASUB19-06,445,135.636,445,168,190,250,F,4,YES,YES,,Spawning capable,"S, M, H",deep,179.37,56.34,116.62,40.23,188.36,44.49,single,2.841176471,heart,-18.26,9.89,heart_deep
118,CUR_LION19041,CURASUB19-06,445,135.636,445,168,190,250,F,4,YES,YES,,Spawning capable,"S, M, H",deep,179.37,56.34,116.62,40.23,188.36,44.49,single,2.841176471,muscle,-16.81,10.26,muscle_deep
120,CUR_LION19041,CURASUB19-06,445,135.636,445,168,190,250,F,4,YES,YES,,Spawning capable,"S, M, H",deep,179.37,56.34,116.62,40.23,188.36,44.49,single,2.841176471,scale,-13.87,9.48,scale_deep
167,CUR_LION19057,CURASUB19-07,305,92.964,305,183,195,250,F,1,YES,YES,,developing,"S, M, H",deep,195.02,58.26,121.72,41.59,188.3,48.43,single,2.591176471,heart,-18.07,9.41,heart_deep
166,CUR_LION19057,CURASUB19-07,305,92.964,305,183,195,250,F,1,YES,YES,,developing,"S, M, H",deep,195.02,58.26,121.72,41.59,188.3,48.43,single,2.591176471,muscle,-17.17,9.41,muscle_deep
168,CUR_LION19057,CURASUB19-07,305,92.964,305,183,195,250,F,1,YES,YES,,developing,"S, M, H",deep,195.02,58.26,121.72,41.59,188.3,48.43,single,2.591176471,scale,-14.29,8.82,scale_deep
179,CUR_LION19061,CURASUB19-07,314,95.7072,314,202,190,252,F,19,YES,YES,,Actively Spawning,"S,M,H",deep,187.95,58.58,111.4,37.61,189.72,49.25,single,2.591176471,heart,-18.38,9.71,heart_deep
178,CUR_LION19061,CURASUB19-07,314,95.7072,314,202,190,252,F,19,YES,YES,,Actively Spawning,"S,M,H",deep,187.95,58.58,111.4,37.61,189.72,49.25,single,2.591176471,muscle,-17.32,9.41,muscle_deep
180,CUR_LION19061,CURASUB19-07,314,95.7072,314,202,190,252,F,19,YES,YES,,Actively Spawning,"S,M,H",deep,187.95,58.58,111.4,37.61,189.72,49.25,single,2.591176471,scale,-14.92,9.22,scale_deep
98,CUR_LION19034,CURASUB19-05,300 ft,91.44,300,196,190,255,F,5,YES,YES,,Spawning capable,"S, M, H",deep,179.905,54.99,114.76,38.77,189.36,50.16,average,2.507352941,heart,-18.63,8.86,heart_deep
97,CUR_LION19034,CURASUB19-05,300 ft,91.44,300,196,190,255,F,5,YES,YES,,Spawning capable,"S, M, H",deep,179.905,54.99,114.76,38.77,189.36,50.16,average,2.507352941,muscle,-17.995,9.125,muscle_deep
99,CUR_LION19034,CURASUB19-05,300 ft,91.44,300,196,190,255,F,5,YES,YES,,Spawning capable,"S, M, H",deep,179.905,54.99,114.76,38.77,189.36,50.16,average,2.507352941,scale,-15.27,8.96,scale_deep
74,CUR_LION19026,CURASUB19-04,290 ft,88.392,290,216,205,265,F,7,YES,YES,,Spawning capable,"S, M, H",deep,182.85,57.74,112.62,37.34,187.98,53.82,single,2.632352941,heart,-17.28,8.25,heart_deep
73,CUR_LION19026,CURASUB19-04,290 ft,88.392,290,216,205,265,F,7,YES,YES,,Spawning capable,"S, M, H",deep,182.85,57.74,112.62,37.34,187.98,53.82,single,2.632352941,muscle,-17.39,9.55,muscle_deep
75,CUR_LION19026,CURASUB19-04,290 ft,88.392,290,216,205,265,F,7,YES,YES,,Spawning capable,"S, M, H",deep,182.85,57.74,112.62,37.34,187.98,53.82,single,2.632352941,scale,-15.02,9.01,scale_deep
89,CUR_LION19031,CURASUB19-04,390 ft,118.872,390,248,204,268,F,9,YES,YES,,Spawning Capable,"S, M, H",deep,185.04,54.75,106.6,36.23,185.79,47.96,single,2.75,heart,-17.9,9.93,heart_deep
88,CUR_LION19031,CURASUB19-04,390 ft,118.872,390,248,204,268,F,9,YES,YES,,Spawning Capable,"S, M, H",deep,185.04,54.75,106.6,36.23,185.79,47.96,single,2.75,muscle,-16.96,9.95,muscle_deep
90,CUR_LION19031,CURASUB19-04,390 ft,118.872,390,248,204,268,F,9,YES,YES,,Spawning Capable,"S, M, H",deep,185.04,54.75,106.6,36.23,185.79,47.96,single,2.75,scale,-14.42,9.06,scale_deep
86,CUR_LION19030,CURASUB19-04,370 ft,112.776,370,275,212,270,M,Not Recorded,YES,YES,Gonads not in bag,?,"S, M, H",deep,180,56.72,110.31,37.37,185.43,48.32,average,2.757352941,heart,-17.97,10.24,heart_deep
85,CUR_LION19030,CURASUB19-04,370 ft,112.776,370,275,212,270,M,Not Recorded,YES,YES,Gonads not in bag,?,"S, M, H",deep,180,56.72,110.31,37.37,185.43,48.32,average,2.757352941,muscle,-17.035,9.975,muscle_deep
87,CUR_LION19030,CURASUB19-04,370 ft,112.776,370,275,212,270,M,Not Recorded,YES,YES,Gonads not in bag,?,"S, M, H",deep,180,56.72,110.31,37.37,185.43,48.32,average,2.757352941,scale,-14.82,9.53,scale_deep
122,CUR_LION19042,CURASUB19-06,420,128.016,420,240,200,270,F,6,YES,YES,,Spawning Capable,"S, M, H",deep,184.4,59.12,118.74,40.965,178.06,45,average,2.732352941,heart,-17.59,10.69,heart_deep
121,CUR_LION19042,CURASUB19-06,420,128.016,420,240,200,270,F,6,YES,YES,,Spawning Capable,"S, M, H",deep,184.4,59.12,118.74,40.965,178.06,45,average,2.732352941,muscle,-16.43,9.89,muscle_deep
123,CUR_LION19042,CURASUB19-06,420,128.016,420,240,200,270,F,6,YES,YES,,Spawning Capable,"S, M, H",deep,184.4,59.12,118.74,40.965,178.06,45,average,2.732352941,scale,-13.65,9.39,scale_deep
176,CUR_LION19060,CURASUB19-07,373,113.6904,373,236,199,270,F,6,YES,YES,,Spawning Capable,"S, M, H",deep,191.17,60.32,109.48,38.23,182.83,47.32,average,2.805882353,heart,-18.04,9.79,heart_deep
175,CUR_LION19060,CURASUB19-07,373,113.6904,373,236,199,270,F,6,YES,YES,,Spawning Capable,"S, M, H",deep,191.17,60.32,109.48,38.23,182.83,47.32,average,2.805882353,muscle,-17.385,10.14,muscle_deep
177,CUR_LION19060,CURASUB19-07,373,113.6904,373,236,199,270,F,6,YES,YES,,Spawning Capable,"S, M, H",deep,191.17,60.32,109.48,38.23,182.83,47.32,average,2.805882353,scale,-14.18,9.44,scale_deep
182,CUR_LION19062,CURASUB19-07,275,83.82,275,205,197,270,F,6,YES,YES,,Spawning capable,"S, M, H",deep,174.055,55.095,120.64,41.79,189.69,42.94,average,2.464705882,heart,-19.8,11.22,heart_deep
181,CUR_LION19062,CURASUB19-07,275,83.82,275,205,197,270,F,6,YES,YES,,Spawning capable,"S, M, H",deep,174.055,55.095,120.64,41.79,189.69,42.94,average,2.464705882,muscle,-17.22,8.98,muscle_deep
183,CUR_LION19062,CURASUB19-07,275,83.82,275,205,197,270,F,6,YES,YES,,Spawning capable,"S, M, H",deep,174.055,55.095,120.64,41.79,189.69,42.94,average,2.464705882,scale,-14.8,8.68,scale_deep